epoch:5, i:8, targets:torch.Size([26, 6]), imgs:torch.Size([16, 4, 640, 640])
epoch:5, i:9, targets:torch.Size([61, 6]), imgs:torch.Size([16, 4, 640, 640])
epoch:5, i:10, targets:torch.Size([15, 6]), imgs:torch.Size([16, 4, 640, 640])
epoch:5, i:11, targets:torch.Size([3, 6]), imgs:torch.Size([4, 4, 640, 640])
epoch:6, i:0, targets:torch.Size([78, 6]), imgs:torch.Size([16, 4, 640, 640])
epoch:6, i:1, targets:torch.Size([79, 6]), imgs:torch.Size([16, 4, 640, 640])
epoch:6, i:2, targets:torch.Size([77, 6]), imgs:torch.Size([16, 4, 640, 640])
epoch:6, i:3, targets:torch.Size([76, 6]), imgs:torch.Size([16, 4, 640, 640])
epoch:6, i:4, targets:torch.Size([72, 6]), imgs:torch.Size([16, 4, 640, 640])
epoch:6, i:5, targets:torch.Size([77, 6]), imgs:torch.Size([16, 4, 640, 640])
epoch:6, i:6, targets:torch.Size([32, 6]), imgs:torch.Size([16, 4, 640, 640])
epoch:6, i:7, targets:torch.Size([16, 6]), imgs:torch.Size([16, 4, 640, 640])
epoch:6, i:8, targets:torch.Size([26, 6]), imgs:torch.Size([16, 4, 640, 640])
epoch:6, i:9, targets:torch.Size([56, 6]), imgs:torch.Size([16, 4, 640, 640])
epoch:6, i:10, targets:torch.Size([15, 6]), imgs:torch.Size([16, 4, 640, 640])
epoch:6, i:11, targets:torch.Size([3, 6]), imgs:torch.Size([4, 4, 640, 640])
epoch:7, i:0, targets:torch.Size([80, 6]), imgs:torch.Size([16, 4, 640, 640])
epoch:7, i:1, targets:torch.Size([74, 6]), imgs:torch.Size([16, 4, 640, 640])
epoch:7, i:2, targets:torch.Size([77, 6]), imgs:torch.Size([16, 4, 640, 640])
epoch:7, i:3, targets:torch.Size([75, 6]), imgs:torch.Size([16, 4, 640, 640])
epoch:7, i:4, targets:torch.Size([72, 6]), imgs:torch.Size([16, 4, 640, 640])
epoch:7, i:5, targets:torch.Size([70, 6]), imgs:torch.Size([16, 4, 640, 640])
epoch:7, i:6, targets:torch.Size([27, 6]), imgs:torch.Size([16, 4, 640, 640])
epoch:7, i:7, targets:torch.Size([15, 6]), imgs:torch.Size([16, 4, 640, 640])
epoch:7, i:8, targets:torch.Size([27, 6]), imgs:torch.Size([16, 4, 640, 640])
epoch:7, i:9, targets:torch.Size([54, 6]), imgs:torch.Size([16, 4, 640, 640])
epoch:7, i:10, targets:torch.Size([15, 6]), imgs:torch.Size([16, 4, 640, 640])
epoch:7, i:11, targets:torch.Size([3, 6]), imgs:torch.Size([4, 4, 640, 640])
epoch:8, i:0, targets:torch.Size([79, 6]), imgs:torch.Size([16, 4, 640, 640])
epoch:8, i:1, targets:torch.Size([72, 6]), imgs:torch.Size([16, 4, 640, 640])
epoch:8, i:2, targets:torch.Size([78, 6]), imgs:torch.Size([16, 4, 640, 640])
epoch:8, i:3, targets:torch.Size([78, 6]), imgs:torch.Size([16, 4, 640, 640])
epoch:8, i:4, targets:torch.Size([71, 6]), imgs:torch.Size([16, 4, 640, 640])
epoch:8, i:5, targets:torch.Size([73, 6]), imgs:torch.Size([16, 4, 640, 640])
epoch:8, i:6, targets:torch.Size([32, 6]), imgs:torch.Size([16, 4, 640, 640])
epoch:8, i:7, targets:torch.Size([16, 6]), imgs:torch.Size([16, 4, 640, 640])
epoch:8, i:8, targets:torch.Size([27, 6]), imgs:torch.Size([16, 4, 640, 640])
epoch:8, i:9, targets:torch.Size([58, 6]), imgs:torch.Size([16, 4, 640, 640])
epoch:8, i:10, targets:torch.Size([15, 6]), imgs:torch.Size([16, 4, 640, 640])
epoch:8, i:11, targets:torch.Size([3, 6]), imgs:torch.Size([4, 4, 640, 640])
epoch:9, i:0, targets:torch.Size([73, 6]), imgs:torch.Size([16, 4, 640, 640])
epoch:9, i:1, targets:torch.Size([74, 6]), imgs:torch.Size([16, 4, 640, 640])
epoch:9, i:2, targets:torch.Size([76, 6]), imgs:torch.Size([16, 4, 640, 640])
epoch:9, i:3, targets:torch.Size([76, 6]), imgs:torch.Size([16, 4, 640, 640])
epoch:9, i:4, targets:torch.Size([73, 6]), imgs:torch.Size([16, 4, 640, 640])
epoch:9, i:5, targets:torch.Size([76, 6]), imgs:torch.Size([16, 4, 640, 640])
epoch:9, i:6, targets:torch.Size([32, 6]), imgs:torch.Size([16, 4, 640, 640])
epoch:9, i:7, targets:torch.Size([16, 6]), imgs:torch.Size([16, 4, 640, 640])
epoch:9, i:8, targets:torch.Size([26, 6]), imgs:torch.Size([16, 4, 640, 640])
epoch:9, i:9, targets:torch.Size([56, 6]), imgs:torch.Size([16, 4, 640, 640])
epoch:9, i:10, targets:torch.Size([15, 6]), imgs:torch.Size([16, 4, 640, 640])
epoch:9, i:11, targets:torch.Size([3, 6]), imgs:torch.Size([4, 4, 640, 640])
epoch:10, i:0, targets:torch.Size([79, 6]), imgs:torch.Size([16, 4, 640, 640])
epoch:10, i:1, targets:torch.Size([76, 6]), imgs:torch.Size([16, 4, 640, 640])
epoch:10, i:2, targets:torch.Size([76, 6]), imgs:torch.Size([16, 4, 640, 640])
epoch:10, i:3, targets:torch.Size([75, 6]), imgs:torch.Size([16, 4, 640, 640])
epoch:10, i:4, targets:torch.Size([70, 6]), imgs:torch.Size([16, 4, 640, 640])
epoch:10, i:5, targets:torch.Size([71, 6]), imgs:torch.Size([16, 4, 640, 640])
epoch:10, i:6, targets:torch.Size([32, 6]), imgs:torch.Size([16, 4, 640, 640])
epoch:10, i:7, targets:torch.Size([16, 6]), imgs:torch.Size([16, 4, 640, 640])
epoch:10, i:8, targets:torch.Size([27, 6]), imgs:torch.Size([16, 4, 640, 640])
epoch:10, i:9, targets:torch.Size([60, 6]), imgs:torch.Size([16, 4, 640, 640])
epoch:10, i:10, targets:torch.Size([15, 6]), imgs:torch.Size([16, 4, 640, 640])
epoch:10, i:11, targets:torch.Size([3, 6]), imgs:torch.Size([4, 4, 640, 640])
epoch:11, i:0, targets:torch.Size([83, 6]), imgs:torch.Size([16, 4, 640, 640])
epoch:11, i:1, targets:torch.Size([74, 6]), imgs:torch.Size([16, 4, 640, 640])
epoch:11, i:2, targets:torch.Size([82, 6]), imgs:torch.Size([16, 4, 640, 640])
epoch:11, i:3, targets:torch.Size([77, 6]), imgs:torch.Size([16, 4, 640, 640])
epoch:11, i:4, targets:torch.Size([70, 6]), imgs:torch.Size([16, 4, 640, 640])
epoch:11, i:5, targets:torch.Size([74, 6]), imgs:torch.Size([16, 4, 640, 640])
epoch:11, i:6, targets:torch.Size([32, 6]), imgs:torch.Size([16, 4, 640, 640])
epoch:11, i:7, targets:torch.Size([16, 6]), imgs:torch.Size([16, 4, 640, 640])
epoch:11, i:8, targets:torch.Size([28, 6]), imgs:torch.Size([16, 4, 640, 640])
epoch:11, i:9, targets:torch.Size([61, 6]), imgs:torch.Size([16, 4, 640, 640])
epoch:11, i:10, targets:torch.Size([15, 6]), imgs:torch.Size([16, 4, 640, 640])
epoch:11, i:11, targets:torch.Size([3, 6]), imgs:torch.Size([4, 4, 640, 640])
epoch:12, i:0, targets:torch.Size([80, 6]), imgs:torch.Size([16, 4, 640, 640])
epoch:12, i:1, targets:torch.Size([74, 6]), imgs:torch.Size([16, 4, 640, 640])
epoch:12, i:2, targets:torch.Size([78, 6]), imgs:torch.Size([16, 4, 640, 640])
epoch:12, i:3, targets:torch.Size([76, 6]), imgs:torch.Size([16, 4, 640, 640])
epoch:12, i:4, targets:torch.Size([69, 6]), imgs:torch.Size([16, 4, 640, 640])
epoch:12, i:5, targets:torch.Size([78, 6]), imgs:torch.Size([16, 4, 640, 640])
epoch:12, i:6, targets:torch.Size([30, 6]), imgs:torch.Size([16, 4, 640, 640])
epoch:12, i:7, targets:torch.Size([15, 6]), imgs:torch.Size([16, 4, 640, 640])
epoch:12, i:8, targets:torch.Size([26, 6]), imgs:torch.Size([16, 4, 640, 640])
epoch:12, i:9, targets:torch.Size([60, 6]), imgs:torch.Size([16, 4, 640, 640])
